tag,rank,variant,servers,cost,n,mean,median,var,mode_int,min,max,q1,q2,q3,p5,p10,p25,p50,p75,p90,p95,cov_caja_caja,cov_caja_freidora,cov_caja_refrescos,cov_caja_pollo,cov_freidora_caja,cov_freidora_freidora,cov_freidora_refrescos,cov_freidora_pollo,cov_refrescos_caja,cov_refrescos_freidora,cov_refrescos_refrescos,cov_refrescos_pollo,cov_pollo_caja,cov_pollo_freidora,cov_pollo_refrescos,cov_pollo_pollo
a,1,base,"{'caja': 5, 'freidora': 4, 'refrescos': 5, 'pollo': 5}",7550.0,30,2.833284182820633,2.75259308616897,0.31192810396334364,3,1.9196322838169986,3.9607779653637167,2.397149436454806,2.75259308616897,3.204980415103057,2.0328301285356405,2.0780257858490154,2.397149436454806,2.75259308616897,3.204980415103057,3.564354738720902,3.6457496204401982,0.008032687418585016,0.005515603090915443,0.0070127262517190635,0.01640630726301455,0.005515603090915443,0.3646999846423741,0.043206853352035786,0.08165481343725547,0.0070127262517190635,0.043206853352035786,0.05257145620835162,0.04298631663556758,0.01640630726301455,0.08165481343725547,0.04298631663556758,0.2260953972378453
a,2,base,"{'caja': 5, 'freidora': 5, 'refrescos': 5, 'pollo': 5}",7750.0,30,2.360711919190897,2.355464725631835,0.19086576106430012,2,1.6718540707126892,3.2239641070009797,2.01681695028682,2.355464725631835,2.6363525854725522,1.7294068613793365,1.820286131629927,2.01681695028682,2.355464725631835,2.6363525854725522,2.990210341231534,3.0226077576434696,0.008032687418585016,0.0023712476340439896,0.0070127262517190635,0.01640630726301455,0.0023712476340439896,0.04273386886474925,0.011618386498609032,0.033664769048516896,0.0070127262517190635,0.011618386498609032,0.05257145620835162,0.04298631663556758,0.01640630726301455,0.033664769048516896,0.04298631663556758,0.2260953972378453
b,1,base,"{'caja': 1, 'freidora': 2, 'refrescos': 1, 'pollo': 3}",1950.0,30,2317.9855846540854,2330.5215048841364,6223.712005804654,2342,2205.7348181364064,2543.3294891883215,2250.8389496217346,2330.5215048841364,2362.130820340802,2213.2787983909966,2220.5781178233906,2250.8389496217346,2330.5215048841364,2362.130820340802,2395.6985737477166,2442.233267586566,4878.958876840843,-0.8107398762885589,-4003.730271738499,2.138107471052017,-0.8107398762885589,0.11186561828887817,9.388786529503903,0.009089193888835076,-4003.730271738499,9.388786529503903,8202.578368294164,-0.17157824919073736,2.138107471052017,0.009089193888835076,-0.17157824919073736,0.01592318486535722
b,2,base,"{'caja': 1, 'freidora': 2, 'refrescos': 1, 'pollo': 2}",1850.0,30,2318.862726087375,2331.493055268217,6232.632345564438,2343,2206.597619148009,2544.2754314775507,2251.9916245112468,2331.493055268217,2362.8044569528156,2214.0266966231275,2221.4039831202185,2251.9916245112468,2331.493055268217,2362.8044569528156,2396.957562664939,2443.3199030339747,4878.958876840843,-0.8107398762885589,-4003.730271738499,15.755063241971632,-0.8107398762885589,0.11186561828887817,9.388786529503903,0.030474408530107872,-4003.730271738499,9.388786529503903,8202.578368294164,-1.5723730915908816,15.755063241971632,0.030474408530107872,-1.5723730915908816,0.5143999773510697
b,3,base,"{'caja': 1, 'freidora': 1, 'refrescos': 1, 'pollo': 5}",1950.0,30,2327.5466968426313,2340.490293332111,6525.8141295106425,2355,2212.4816751276576,2570.1539406523098,2261.0837946265424,2340.490293332111,2368.665106794724,2221.9021806688024,2230.032265997267,2261.0837946265424,2340.490293332111,2368.665106794724,2401.28963692489,2453.8841843076066,4878.958876840843,-107.40838471459546,-4003.730271738499,0.11572719098257764,-107.40838471459546,95.04041854746076,379.7639870337903,-0.00490508426903938,-4003.730271738499,379.7639870337903,8202.578368294164,-0.05486346391223749,0.11572719098257764,-0.00490508426903938,-0.05486346391223749,4.4042825718437896e-05
c,1,base,"{'caja': 2, 'freidora': 1, 'refrescos': 2, 'pollo': 3}",3000.0,30,1004.737988216901,998.342994636585,8935.621993370147,909,836.2724481270566,1222.146452770958,939.1617347207525,998.342994636585,1054.79981647048,888.338236735065,899.2076865382774,939.1617347207525,998.342994636585,1054.79981647048,1119.576349456268,1184.3488250491773,1711.4684982297608,-1094.437796039822,-891.7451433395076,24.954935112120587,-1094.437796039822,20376.13680636864,1630.5517995232995,40.435765237360414,-891.7451433395076,1630.5517995232995,2048.0660049330945,-2.707818612821263,24.954935112120587,40.435765237360414,-2.707818612821263,1.7602205754052678
c,2,base,"{'caja': 2, 'freidora': 1, 'refrescos': 2, 'pollo': 2}",2900.0,30,1021.037435588499,1006.2397242551988,9437.051833850821,921,853.3313188692003,1248.340271209764,950.537657864925,1006.2397242551988,1081.0862700679768,900.0969996739398,916.0907252605066,950.537657864925,1006.2397242551988,1081.0862700679768,1138.1469316784444,1205.9817351212923,1711.4684982297608,-1094.437796039822,-891.7451433395076,114.39952351377055,-1094.437796039822,20376.13680636864,1630.5517995232995,448.4584536988055,-891.7451433395076,1630.5517995232995,2048.0660049330945,187.46566014996546,114.39952351377055,448.4584536988055,187.46566014996546,668.4899235219772
c,3,base,"{'caja': 2, 'freidora': 2, 'refrescos': 2, 'pollo': 1}",3000.0,30,1109.0517234069227,1111.294394534363,7938.628836381999,932,931.6345714643242,1283.6841149899735,1050.8793051155276,1111.294394534363,1159.777730914827,956.0783834947906,994.3065973507114,1050.8793051155276,1111.294394534363,1159.777730914827,1213.387950784759,1232.9407917013286,1711.4684982297608,-6.18527246477396,-891.7451433395076,-423.6117889885512,-6.18527246477396,23.1713559865729,95.91302645234617,84.80019111541755,-891.7451433395076,95.91302645234617,2048.0660049330945,1635.8283067958773,-423.6117889885512,84.80019111541755,1635.8283067958773,25746.12048572593
e,1,pollo50,"{'caja': 5, 'freidora': 4, 'refrescos': 5, 'pollo': 6}",7650.0,30,2.8478227220282046,2.88004591783291,0.3798791150175812,3,1.9600236673319362,4.719033173864708,2.335185217037988,2.88004591783291,3.121588714571101,2.0751699587142576,2.1479476515284337,2.335185217037988,2.88004591783291,3.121588714571101,3.507539124100276,3.810532491430528,0.008032687418585016,0.0012277969749794671,0.0070127262517190635,0.013152537286747262,0.0012277969749794671,0.026097149233249354,0.011676490905967353,0.02789198362041376,0.0070127262517190635,0.011676490905967353,0.05257145620835162,0.03633848937838749,0.013152537286747262,0.02789198362041376,0.03633848937838749,0.6821641007985271
e,2,pollo50,"{'caja': 5, 'freidora': 5, 'refrescos': 5, 'pollo': 6}",7850.0,30,2.770014635737843,2.7861190555931996,0.3708269778640953,3,1.9233520760439964,4.612848738029368,2.289048428753764,2.7861190555931996,3.0194444997759167,2.025851223387337,2.0693823078023144,2.289048428753764,2.7861190555931996,3.0194444997759167,3.4341790161580055,3.7378966509162685,0.008032687418585016,0.0011380654675208987,0.0070127262517190635,0.013152537286747262,0.0011380654675208987,0.004459760777766714,0.0033906217219473573,0.01263894109272596,0.0070127262517190635,0.0033906217219473573,0.05257145620835162,0.03633848937838749,0.013152537286747262,0.01263894109272596,0.03633848937838749,0.6821641007985271
e,3,pollo50,"{'caja': 5, 'freidora': 6, 'refrescos': 5, 'pollo': 6}",8050.0,30,2.751802229444094,2.774012462428255,0.3675141013281474,3,1.9135471963831494,4.579608101185591,2.281138314893464,2.774012462428255,3.000781274772016,2.010724798780966,2.057764515308369,2.281138314893464,2.774012462428255,3.000781274772016,3.4217986948242736,3.7179349587352792,0.008032687418585016,0.0009160220757775724,0.0070127262517190635,0.013152537286747262,0.0009160220757775724,0.0008179246994292612,0.0008104617771639282,0.0019520602951514205,0.0070127262517190635,0.0008104617771639282,0.05257145620835162,0.03633848937838749,0.013152537286747262,0.0019520602951514205,0.03633848937838749,0.6821641007985271
d,1,cashier2,"{'caja': 4, 'freidora': 6, 'refrescos': 5, 'pollo': 5}",,30,1.4679316172738672,1.462970288191447,0.10157157768495323,1,0.9682317848289179,2.0697184915459492,1.2598064841828642,1.462970288191447,1.6756623126334933,1.0406256482871719,1.0746606095336109,1.2598064841828642,1.462970288191447,1.6756623126334933,1.9299525675761,1.9404509008377346,0.001921543159102165,0.0006263569281175817,0.001506551516212749,0.0066402811828151,0.0006263569281175817,0.006466568572166092,0.001722613236282067,0.008434850780117999,0.001506551516212749,0.001722613236282067,0.03246500034532543,0.02901353022769401,0.0066402811828151,0.008434850780117999,0.02901353022769401,0.18688066878839837
