cajas,ref,frei,pos,pol,W_sim,W_profe,Var_W,IC_low,IC_high,W_analitico_ref,clientes_completados,viol_rho,score_align_40,score_wait_50,score_comp_10,score_total_100,criterio_optimo
4,2,4,1,1,158.2616,1.2756,9031.8277,157.8473,158.6759,0.0,376.98,5,40.0,28.98,10.0,78.98,
4,1,1,2,4,188.9067,2.2863,12874.8966,188.4334,189.3801,0.0,210.59,5,40.0,14.96,10.0,64.96,
2,1,4,1,4,191.8627,1.4681,10849.7092,191.423,192.3025,0.0,327.58,5,40.0,13.6,10.0,63.6,
1,1,4,4,2,214.6816,2.7128,14182.6535,214.0434,215.3197,1.7143,177.85,4,40.0,3.16,10.0,53.16,
2,4,1,1,4,199.5559,2.4568,12973.0006,199.0812,200.0307,1.3671,196.07,4,40.0,10.08,10.0,60.08,
4,1,2,4,1,186.6634,2.0322,12620.7716,186.1912,187.1355,1.7143,236.83,4,40.0,15.98,10.0,65.98,
1,2,4,1,4,212.9529,2.557,13931.5273,212.3077,213.5981,0.0,188.8,5,40.0,3.95,10.0,53.95,
1,4,4,2,1,213.9169,3.042,14453.9876,213.2387,214.5952,1.3671,158.69,4,40.0,3.51,10.0,53.51,
1,4,2,4,1,215.9917,3.0698,14350.1065,215.3476,216.6359,3.0814,157.3,3,40.0,2.56,10.0,52.56,
4,4,2,1,1,159.1351,1.6143,11001.6529,158.6681,159.6021,1.3671,298.11,4,40.0,28.58,10.0,78.58,
1,4,1,4,2,220.8802,3.5733,14933.8155,220.3017,221.4586,3.0814,134.95,3,40.0,0.32,10.0,50.32,
1,1,2,4,4,215.0059,2.5834,13834.057,214.3895,215.6222,1.7143,186.76,4,40.0,3.01,10.0,53.01,
1,4,1,2,4,218.9504,3.4556,14887.8272,218.3694,219.5314,1.3671,139.52,4,40.0,1.2,10.0,51.2,
4,1,2,1,4,190.1019,1.7299,12199.2669,189.6847,190.5191,0.0,278.04,5,40.0,14.41,10.0,64.41,
4,2,1,4,1,154.4489,1.8761,10169.1066,153.9755,154.9224,1.7143,256.62,4,40.0,30.73,10.0,80.73,
1,1,4,2,4,213.3926,2.5573,13908.7287,212.7448,214.0405,0.0,188.66,5,40.0,3.75,10.0,53.75,
1,4,4,1,2,214.9523,2.7093,14098.2348,214.3045,215.6001,1.3671,178.01,4,40.0,3.03,10.0,53.03,
4,4,1,1,2,156.2706,1.8606,11275.4351,155.7799,156.7613,1.3671,258.77,4,40.0,29.9,10.0,79.9,
4,4,1,2,1,149.589,1.8364,10213.2998,149.0939,150.084,1.3671,262.18,4,40.0,32.95,10.0,82.95,
1,2,1,4,4,219.058,3.4663,14880.2232,218.47,219.6459,1.7143,139.06,4,40.0,1.15,10.0,51.15,
2,1,4,4,1,189.9433,1.7497,11197.7065,189.4546,190.4319,1.7143,275.08,4,40.0,14.48,10.0,64.48,
3,4,3,1,1,175.7137,1.5541,10546.0327,175.256,176.1714,1.3671,309.59,4,40.0,21.0,10.0,71.0,
1,4,3,1,3,214.6508,2.5963,13923.2569,214.032,215.2696,1.3671,185.85,4,40.0,3.17,10.0,53.17,
3,4,1,3,1,173.2184,2.1717,11353.4261,172.6826,173.7541,4.3671,221.94,3,40.0,22.14,10.0,72.14,
3,1,1,3,4,194.6085,2.3686,12803.8309,194.1143,195.1027,3.0,203.38,4,40.0,12.35,10.0,62.35,
3,1,4,1,3,186.2129,1.4715,11032.5653,185.7499,186.6758,0.0,326.92,5,40.0,16.19,10.0,66.19,
3,3,1,4,1,172.6934,2.1825,11354.8239,172.1696,173.2171,3.7912,220.72,3,40.0,22.38,10.0,72.38,
4,3,3,1,1,158.7689,1.3893,10035.5463,158.307,159.2307,2.0769,346.19,4,40.0,28.75,10.0,78.75,
3,1,3,1,4,188.1638,1.4456,10868.172,187.7451,188.5825,0.0,332.59,5,40.0,15.3,10.0,65.3,
3,4,1,1,3,180.0514,2.1137,12029.3408,179.5688,180.5341,1.3671,227.8,4,40.0,19.01,10.0,69.01,
4,3,1,1,3,157.4592,1.81,11190.9317,156.9751,157.9433,2.0769,265.95,4,40.0,29.35,10.0,79.35,
4,1,1,3,3,188.1252,2.3484,13134.446,187.6339,188.6165,3.0,205.06,4,40.0,15.31,10.0,65.31,
1,1,3,4,3,214.1816,2.5787,13930.6236,213.5612,214.8021,1.7143,187.1,4,40.0,3.39,10.0,53.39,
1,1,3,3,4,213.5856,2.5615,13941.3736,212.9348,214.2365,3.0,188.38,4,40.0,3.66,10.0,53.66,
1,3,4,3,1,213.3544,3.0339,14422.7149,212.6899,214.0189,5.0769,159.1,3,40.0,3.77,10.0,53.77,
1,3,3,1,4,213.605,2.5622,13921.0827,212.9696,214.2404,2.0769,188.36,4,40.0,3.65,10.0,53.65,
3,3,1,1,4,179.7307,2.0409,11771.0979,179.2574,180.204,2.0769,235.95,4,40.0,19.16,10.0,69.16,
4,1,3,3,1,180.7828,1.6776,11232.5734,180.3574,181.2081,3.0,286.75,4,40.0,18.68,10.0,68.68,
1,3,1,4,3,219.7357,3.4697,14880.6587,219.1537,220.3176,3.7912,138.95,3,40.0,0.84,10.0,50.84,
1,3,4,1,3,214.1548,2.5937,13907.5888,213.5254,214.7842,2.0769,186.05,4,40.0,3.4,10.0,53.4,
1,3,1,3,4,218.9295,3.4445,14892.1967,218.3616,219.4974,5.0769,139.97,3,40.0,1.21,10.0,51.21,
3,1,3,4,1,186.2139,1.7283,11240.4799,185.769,186.6588,1.7143,278.38,4,40.0,16.19,10.0,66.19,
3,1,4,3,1,181.6434,1.6348,10884.466,181.1584,182.1284,3.0,294.42,4,40.0,18.28,10.0,68.28,
1,1,4,3,3,213.6868,2.5836,13925.9254,213.0518,214.3219,3.0,186.81,4,40.0,3.61,10.0,53.61,
4,1,3,1,3,185.9396,1.4991,11312.6502,185.508,186.3711,0.0,320.81,5,40.0,16.31,10.0,66.31,
1,4,1,3,3,219.8779,3.4794,14934.9096,219.3185,220.4373,4.3671,138.54,3,40.0,0.78,10.0,50.78,
1,4,3,3,1,213.5203,3.042,14456.0471,212.8503,214.1903,4.3671,158.69,3,40.0,3.69,10.0,53.69,
3,1,1,4,3,195.3539,2.4546,13093.6488,194.8727,195.8352,1.7143,196.26,4,40.0,12.01,10.0,62.01,
3,3,4,1,1,168.0922,1.375,9500.2423,167.6437,168.5407,2.0769,349.77,4,40.0,24.48,10.0,74.48,
4,3,1,3,1,146.4372,1.7857,9891.9828,145.9195,146.9549,5.0769,269.61,3,40.0,34.4,10.0,84.4,
1,3,3,4,1,214.2475,3.0451,14478.4955,213.5868,214.9082,3.7912,158.65,3,40.0,3.36,10.0,53.36,
2,5,2,1,2,198.8849,1.9895,12601.5564,198.4161,199.3537,1.1345,241.99,4,40.0,10.39,10.0,60.39,
1,5,2,2,2,216.0603,2.7439,14126.5613,215.4442,216.6764,1.1345,175.78,4,40.0,2.53,10.0,52.53,
5,1,2,2,2,183.4525,1.8261,12985.5423,182.9839,183.921,0.0,263.48,5,40.0,17.45,10.0,67.45,
2,2,1,5,2,199.6129,2.58,13187.8503,199.09,200.1358,1.3636,186.72,4,40.0,10.06,10.0,60.06,
1,2,2,2,5,214.7106,2.592,13878.473,214.103,215.3181,0.0,186.15,5,40.0,3.14,10.0,53.14,
5,2,2,1,2,163.5211,1.5236,11417.9617,163.0697,163.9725,0.0,315.75,5,40.0,26.58,10.0,76.58,
2,2,2,5,1,195.5432,2.1361,12537.1796,195.057,196.0293,1.3636,225.47,4,40.0,11.92,10.0,61.92,
5,2,2,2,1,156.0184,1.5403,10556.0,155.5753,156.4615,0.0,312.36,5,40.0,30.01,10.0,80.01,
5,2,1,2,2,153.4396,1.7625,10760.6897,152.9841,153.8951,0.0,273.12,5,40.0,31.19,10.0,81.19,
2,1,2,5,2,200.1467,2.0143,12595.7402,199.6946,200.5988,1.3636,238.97,4,40.0,9.81,10.0,59.81,
2,1,5,2,2,190.6763,1.6207,11321.4207,190.1975,191.1552,0.0,296.92,5,40.0,14.15,10.0,64.15,
2,5,1,2,2,199.6672,2.5949,13297.5543,199.1515,200.1828,1.1345,185.66,4,40.0,10.03,10.0,60.03,
2,2,1,2,5,197.4354,2.3527,12607.3895,196.9386,197.9322,0.0,204.74,5,40.0,11.05,10.0,61.05,
2,5,2,2,1,195.5778,2.1377,12529.7426,195.0784,196.0773,1.1345,225.26,4,40.0,11.9,10.0,61.9,
2,2,2,1,5,196.0188,1.7639,11941.9529,195.5964,196.4412,0.0,272.71,5,40.0,11.7,10.0,61.7,
1,2,2,5,2,216.4554,2.7341,14009.366,215.8321,217.0788,1.3636,176.41,4,40.0,2.35,10.0,52.35,
2,2,5,1,2,187.0809,1.574,11106.1645,186.5676,187.5943,0.0,305.82,5,40.0,15.79,10.0,65.79,
2,2,5,2,1,182.7866,1.6181,10730.7281,182.2627,183.3104,0.0,297.62,5,40.0,17.76,10.0,67.76,
2,1,2,2,5,197.9577,1.7916,12034.4433,197.5374,198.378,0.0,268.44,5,40.0,10.81,10.0,60.81,
1,2,5,2,2,214.3639,2.7023,14155.8693,213.7063,215.0214,0.0,178.54,5,40.0,3.3,10.0,53.3,
4,2,1,3,2,156.7525,1.7807,10447.9151,156.3029,157.2021,3.0,270.25,4,40.0,29.68,10.0,79.68,
1,2,2,3,4,215.4146,2.5968,13853.2074,214.8191,216.0102,3.0,185.72,4,40.0,2.82,10.0,52.82,
3,2,2,4,1,176.032,1.7548,11102.3662,175.5574,176.5065,1.7143,274.3,4,40.0,20.85,10.0,70.85,
3,4,2,2,1,176.3709,1.7649,11171.3917,175.9029,176.8389,1.3671,272.73,4,40.0,20.69,10.0,70.69,
1,3,2,4,2,216.4249,2.7354,14096.833,215.8515,216.9984,3.7912,176.31,3,40.0,2.36,10.0,52.36,
4,2,1,2,3,160.154,1.7594,10514.4529,159.7323,160.5756,0.0,273.52,5,40.0,28.12,10.0,78.12,
3,4,1,2,2,175.9839,2.0548,11537.7138,175.5001,176.4676,1.3671,234.35,4,40.0,20.87,10.0,70.87,
2,1,4,3,2,190.8717,1.62,11269.2301,190.406,191.3373,3.0,297.0,4,40.0,14.06,10.0,64.06,
3,1,4,2,2,182.9727,1.5197,11009.1975,182.5047,183.4407,0.0,316.6,5,40.0,17.67,10.0,67.67,
2,2,3,4,1,188.8622,1.7463,11270.3341,188.3868,189.3377,1.7143,275.5,4,40.0,14.98,10.0,64.98,
4,3,2,1,2,162.6732,1.506,11165.9667,162.21,163.1364,2.0769,319.45,4,40.0,26.96,10.0,76.96,
1,2,3,2,4,213.1557,2.5722,13965.8911,212.5094,213.8021,0.0,187.53,5,40.0,3.86,10.0,53.86,
2,2,4,3,1,184.0133,1.6335,10763.3498,183.4907,184.5359,3.0,294.78,4,40.0,17.2,10.0,67.2,
1,2,3,4,2,214.9799,2.7141,14186.1672,214.3525,215.6073,1.7143,177.88,4,40.0,3.02,10.0,53.02,
1,3,2,2,4,214.2402,2.5786,13776.5849,213.6421,214.8383,2.0769,187.03,4,40.0,3.36,10.0,53.36,
2,4,1,3,2,199.3454,2.5917,13245.581,198.8079,199.8829,4.3671,185.91,3,40.0,10.18,10.0,60.18,
4,3,1,2,2,152.5303,1.7423,10483.9814,152.0533,153.0074,2.0769,276.26,4,40.0,31.61,10.0,81.61,
4,2,2,3,1,159.4531,1.5526,10284.1795,159.0165,159.8898,3.0,309.89,4,40.0,28.44,10.0,78.44,
2,1,4,2,3,190.8062,1.5169,11072.7208,190.3371,191.2753,0.0,317.18,5,40.0,14.09,10.0,64.09,
3,4,2,1,2,181.9734,1.7121,11653.54,181.5293,182.4175,1.3671,281.11,4,40.0,18.13,10.0,68.13,
2,3,1,4,2,199.7884,2.583,13328.4446,199.2622,200.3146,3.7912,186.53,3,40.0,9.98,10.0,59.98,
1,2,4,3,2,214.468,2.6896,14163.6595,213.8162,215.1197,3.0,179.35,4,40.0,3.26,10.0,53.26,
2,4,1,2,3,198.7947,2.4764,13065.0409,198.2827,199.3066,1.3671,194.58,4,40.0,10.43,10.0,60.43,
4,2,3,1,2,166.7719,1.3481,10291.2801,166.3301,167.2138,0.0,356.77,5,40.0,25.09,10.0,75.09,
3,1,2,4,2,194.201,1.9245,12476.63,193.7223,194.6797,1.7143,250.03,4,40.0,12.53,10.0,62.53,
2,2,1,3,4,197.6954,2.3987,12855.0103,197.1808,198.21,3.0,200.82,4,40.0,10.93,10.0,60.93,
2,3,2,4,1,195.635,2.139,12574.0345,195.1465,196.1235,3.7912,225.12,3,40.0,11.88,10.0,61.88,
1,2,4,2,3,213.2545,2.5778,13909.0025,212.6062,213.9029,0.0,187.15,5,40.0,3.81,10.0,53.81,
2,2,1,4,3,198.6013,2.4918,13091.8343,198.0896,199.1131,1.7143,193.31,4,40.0,10.52,10.0,60.52,
3,2,2,1,4,181.8141,1.5632,11269.55,181.3732,182.255,0.0,307.66,5,40.0,18.2,10.0,68.2,
4,1,2,3,2,187.9353,1.8602,12568.5048,187.4745,188.396,3.0,258.7,4,40.0,15.4,10.0,65.4,
2,3,4,2,1,184.2482,1.6305,10723.4362,183.7208,184.7756,2.0769,295.33,4,40.0,17.09,10.0,67.09,
4,2,2,1,3,170.3618,1.4744,11072.1551,169.9564,170.7672,0.0,326.26,5,40.0,23.45,10.0,73.45,
2,3,4,1,2,188.2798,1.5752,11102.6045,187.7936,188.766,2.0769,305.61,4,40.0,15.24,10.0,65.24,
2,1,3,4,2,193.4889,1.6787,11470.1467,193.0442,193.9335,1.7143,286.58,4,40.0,12.86,10.0,62.86,
2,2,3,1,4,191.7092,1.4723,10929.6714,191.2763,192.142,0.0,326.56,5,40.0,13.67,10.0,63.67,
3,2,1,4,2,176.0152,2.0538,11509.9857,175.5298,176.5007,1.7143,234.48,4,40.0,20.86,10.0,70.86,
2,1,2,4,3,199.6634,1.8722,12340.4861,199.2057,200.121,1.7143,256.9,4,40.0,10.03,10.0,60.03,
2,4,2,3,1,196.0503,2.1397,12547.8545,195.5419,196.5588,4.3671,225.06,3,40.0,11.69,10.0,61.69,
2,2,4,1,3,188.4167,1.4755,10896.3128,187.9061,188.9272,0.0,326.12,5,40.0,15.18,10.0,65.18,
3,2,4,2,1,164.1764,1.2739,8799.6005,163.7481,164.6048,0.0,377.46,5,40.0,26.28,10.0,76.28,
2,1,2,3,4,198.3879,1.8154,12153.4446,197.9716,198.8043,3.0,264.93,4,40.0,10.62,10.0,60.62,
1,3,4,2,2,214.7326,2.7063,14172.2978,214.076,215.3892,2.0769,178.2,4,40.0,3.13,10.0,53.13,
2,3,1,2,4,197.7584,2.397,12847.7469,197.2604,198.2564,2.0769,200.91,4,40.0,10.9,10.0,60.9,
2,4,3,2,1,189.1954,1.7507,11217.8141,188.7205,189.6704,1.3671,274.87,4,40.0,14.82,10.0,64.82,
2,4,3,1,2,191.9501,1.6646,11454.3589,191.4843,192.4158,1.3671,288.96,4,40.0,13.56,10.0,63.56,
4,1,3,2,2,183.4447,1.5651,11358.4214,183.0083,183.8811,0.0,307.35,5,40.0,17.46,10.0,67.46,
1,4,2,3,2,216.6638,2.7315,14154.0168,216.0718,217.2558,4.3671,176.62,3,40.0,2.25,10.0,52.25,
2,4,2,1,3,198.5256,1.846,12325.2377,198.0614,198.9899,1.3671,260.6,4,40.0,10.55,10.0,60.55,
3,1,2,2,4,193.0098,1.744,12047.1701,192.5976,193.4221,0.0,275.81,5,40.0,13.08,10.0,63.08,
4,1,2,2,3,189.2712,1.7504,12290.3053,188.8182,189.7241,0.0,274.86,5,40.0,14.79,10.0,64.79,
4,2,3,2,1,159.6026,1.3471,9443.5635,159.1766,160.0285,0.0,356.99,5,40.0,28.37,10.0,78.37,
1,2,2,4,3,215.6249,2.6047,13897.018,215.0112,216.2385,1.7143,185.14,4,40.0,2.73,10.0,52.73,
3,2,4,1,2,170.6491,1.2957,9655.736,170.219,171.0791,0.0,371.21,5,40.0,23.31,10.0,73.31,
1,4,3,2,2,214.6355,2.7093,14175.165,213.9956,215.2753,1.3671,178.12,4,40.0,3.18,10.0,53.18,
2,1,3,2,4,192.3305,1.4715,10865.3562,191.9026,192.7584,0.0,326.7,5,40.0,13.39,10.0,63.39,
2,3,2,1,4,196.985,1.791,12077.2492,196.5449,197.4252,2.0769,268.56,4,40.0,11.26,10.0,61.26,
4,3,2,2,1,155.874,1.5251,10350.4503,155.4072,156.3408,2.0769,315.5,4,40.0,30.08,10.0,80.08,
3,2,1,2,4,176.3103,1.9364,11204.0371,175.8435,176.7772,0.0,248.67,5,40.0,20.72,10.0,70.72,
1,4,2,2,3,215.7712,2.6066,13880.3696,215.1969,216.3455,1.3671,185.03,4,40.0,2.66,10.0,52.66,
2,3,3,3,1,188.4531,1.7451,11259.8023,187.9625,188.9437,5.0769,275.75,3,40.0,15.16,10.0,65.16,
1,3,2,3,3,215.4847,2.6119,13875.7884,214.8839,216.0856,5.0769,184.67,3,40.0,2.79,10.0,52.79,
1,3,3,3,2,213.9314,2.7077,14145.781,213.3022,214.5607,5.0769,178.13,3,40.0,3.5,10.0,53.5,
2,3,3,1,3,192.0898,1.5567,11218.4371,191.6294,192.5503,2.0769,308.99,4,40.0,13.5,10.0,63.5,
3,3,2,3,1,175.48,1.7528,11126.4824,175.006,175.954,5.0769,274.63,3,40.0,21.1,10.0,71.1,
1,3,3,2,3,213.7868,2.5823,13951.9079,213.1348,214.4388,2.0769,186.84,4,40.0,3.57,10.0,53.57,
3,3,1,3,2,175.2794,2.0558,11560.7245,174.7906,175.7682,5.0769,234.26,3,40.0,21.19,10.0,71.19,
3,3,1,2,3,176.1944,1.9856,11411.1487,175.6963,176.6926,2.0769,242.5,4,40.0,20.78,10.0,70.78,
3,1,2,3,3,194.6186,1.7972,12262.2045,194.1883,195.0489,3.0,267.6,4,40.0,12.34,10.0,62.34,
2,1,3,3,3,193.2367,1.5635,11256.183,192.8066,193.6668,3.0,307.58,4,40.0,12.97,10.0,62.97,
3,3,2,1,3,182.8458,1.606,11492.2132,182.4201,183.2715,2.0769,299.47,4,40.0,17.73,10.0,67.73,
3,2,3,3,1,171.3646,1.4735,10071.9373,170.9189,171.8102,3.0,326.46,4,40.0,22.99,10.0,72.99,
2,3,1,3,3,198.4967,2.4813,13089.6051,197.9883,199.0051,5.0769,194.16,3,40.0,10.57,10.0,60.57,
3,2,1,3,3,175.9583,1.985,11404.3112,175.4609,176.4557,3.0,242.61,4,40.0,20.88,10.0,70.88,
3,3,3,2,1,172.0009,1.4758,10106.987,171.5455,172.4564,2.0769,325.98,4,40.0,22.7,10.0,72.7,
3,3,3,1,2,177.7639,1.4553,10701.6715,177.2997,178.2281,2.0769,330.52,4,40.0,20.06,10.0,70.06,
3,1,3,2,3,186.9946,1.4917,11092.51,186.5433,187.4459,0.0,322.45,5,40.0,15.83,10.0,65.83,
3,1,3,3,2,187.4284,1.6022,11329.2175,186.9815,187.8753,3.0,300.23,4,40.0,15.63,10.0,65.63,
3,2,3,1,3,178.4177,1.3692,10514.477,177.9736,178.8618,0.0,351.23,5,40.0,19.76,10.0,69.76,
1,2,3,3,3,212.9444,2.5923,14019.0957,212.3136,213.5752,3.0,186.12,4,40.0,3.95,10.0,53.95,
2,4,2,2,2,197.0418,1.9541,12509.7074,196.5642,197.5195,1.3671,246.32,4,40.0,11.23,10.0,61.23,
2,2,2,2,4,195.4517,1.758,12047.584,194.9937,195.9097,0.0,273.6,5,40.0,11.96,10.0,61.96,
2,2,4,2,2,185.7247,1.5163,10892.148,185.215,186.2343,0.0,317.45,5,40.0,16.41,10.0,66.41,
2,2,2,4,2,197.1463,1.9541,12549.3137,196.6547,197.6378,1.7143,246.28,4,40.0,11.18,10.0,61.18,
4,2,2,2,2,164.7956,1.4721,10637.3543,164.348,165.2433,0.0,326.77,5,40.0,25.99,10.0,75.99,
2,3,3,2,2,189.8394,1.6213,11338.2243,189.3878,190.2911,2.0769,296.72,4,40.0,14.53,10.0,64.53,
2,2,3,3,2,189.9971,1.6198,11304.0881,189.5345,190.4596,3.0,297.02,4,40.0,14.46,10.0,64.46,
3,2,2,2,3,179.5684,1.5399,11090.1512,179.1127,180.0241,0.0,312.39,5,40.0,19.23,10.0,69.23,
2,3,2,3,2,197.3301,1.9572,12574.2131,196.85,197.8101,5.0769,245.94,3,40.0,11.1,10.0,61.1,
3,2,3,2,2,174.1793,1.3844,10258.6952,173.7303,174.6282,0.0,347.51,5,40.0,21.7,10.0,71.7,
2,3,2,2,3,196.3039,1.8185,12241.4825,195.854,196.7539,2.0769,264.58,4,40.0,11.57,10.0,61.57,
3,3,2,2,2,178.2491,1.6243,11280.8695,177.79,178.7081,2.0769,296.26,4,40.0,19.84,10.0,69.84,
2,2,3,2,3,190.324,1.5144,11120.2522,189.8613,190.7868,0.0,317.66,5,40.0,14.31,10.0,64.31,
2,2,2,3,3,196.8836,1.8206,12210.6734,196.4195,197.3478,3.0,264.31,4,40.0,11.31,10.0,61.31,
3,2,2,3,2,178.1753,1.6296,11253.9602,177.7051,178.6455,3.0,295.27,4,40.0,19.87,10.0,69.87,
